Hotel,Attraction,Walking Distance,Walking Time,Transit/Bus Time,Transit Price
Garner Hotel Vienna - Prinz Eugen by IHG,Belvedere-Schlossgarten,785 m,9m,9m (Walk recommended),Free (Walk)
Garner Hotel Vienna - Prinz Eugen by IHG,The Vienna Naschmarkt,2.9 km,34m,16m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,Vienna Museum of Science & Technology,6.0 km,1h 12m,29m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,House of Music,2.3 km,27m,14m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,Natural History Museum,3.5 km,41m,18m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,Vienna State Opera,2.5 km,29m,14m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,Upper Belvedere (Klimt),785 m,9m,9m (Walk recommended),Free (Walk)
Garner Hotel Vienna - Prinz Eugen by IHG,Aida Cafe Vienna,N/A,N/A,N/A,N/A
Garner Hotel Vienna - Prinz Eugen by IHG,Children's Museum (Schönbrunn Palace),7.6 km,1h 31m,35m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,Prater (amusement park),4.9 km,58m,24m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,ZOOM Kindermuseum,3.3 km,39m,18m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,Vorgartenmarkt,5.7 km,1h 8m,27m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,Brunnenmarkt,6.3 km,1h 15m,30m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,Tichy (ice cream),2.0 km,24m,13m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,Pötzleinsdorfer Schlosspark,9.0 km,1h 48m,41m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,St. Stephen's Cathedral,3.3 km,39m,18m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,Wiener Würstelstand,N/A,N/A,N/A,N/A
Garner Hotel Vienna - Prinz Eugen by IHG,Café Pavillon (Schönbrunn Palace Park),7.6 km,1h 31m,35m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,Klimt Villa,8.5 km,1h 42m,39m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,Schönbrunn Zoo,7.5 km,1h 29m,34m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,Kunsthistorisches Museum Wien,3.2 km,37m,17m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,Albertina,2.9 km,34m,16m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,Wien Museum Karlsplatz,2.2 km,26m,13m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,Karlsplatz,1.1 km,13m,13m (Walk recommended),Free (Walk)
Garner Hotel Vienna - Prinz Eugen by IHG,Die Glasfabrik,5.1 km,1h 1m,25m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,Mythos Mozart,3.4 km,40m,18m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,Danube Park,7.8 km,1h 33m,36m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,Votivkirche Light of creation,4.5 km,53m,22m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,Spittelberg Neighborhood,4.0 km,47m,20m,€2.40 (Single Ticket)
Garner Hotel Vienna - Prinz Eugen by IHG,Danube Tower,8.8 km,1h 45m,40m,€2.40 (Single Ticket)
